Số báo danh,Khối Thi,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa lý,GDCD
01000031,khxh,7,7.75,6.25,-1,-1,-1,5,8.8,9
01000032,khxh,4,7,4.5,-1,-1,-1,5,2.2,5.5
01000033,khxh,6.6,6.5,6.5,-1,-1,-1,5.75,5.6,7
01000034,khxh,8.2,7,7,-1,-1,-1,6.25,8.4,8
01000035,khxh,7.4,6.25,4,-1,-1,-1,6,7.4,8
01000036,khxh,7.6,7,5.75,-1,-1,-1,6,8.6,8
01000037,khtn,7.6,4.75,7.2,6,4.5,6.5,-1,-1,-1
01000038,khxh,6,6,8,-1,-1,-1,6.25,5.6,7.25
01000039,khxh,7.8,8.75,6.25,-1,-1,-1,8.5,6.6,8.25
01000040,khxh,8,8.25,8,-1,-1,-1,5.5,8.8,7.75
01000041,khxh,7.4,8,6,-1,-1,-1,6,7.2,7.5
01000042,khxh,5.8,6.5,7.25,-1,-1,-1,4.75,7.2,7.25
01000043,khtn,7.2,8,4.8,4.5,3,7.25,-1,-1,-1
01000044,khxh,2.6,3,-1,-1,-1,-1,2,4.5,-1
01000045,khxh,6,7,6.5,-1,-1,-1,5.5,3.4,7.5
01000046,khtn,8,5.5,4.6,7.25,4.75,6.25,-1,-1,-1
01000047,khxh,7.2,7.75,7.25,-1,-1,-1,7,7.6,7.5
01000048,khxh,8,8.5,8,-1,-1,-1,6.25,9.4,9
01000049,khtn,7.8,7.75,7.4,3.75,5.75,7,-1,-1,-1
01000050,khxh,7.4,7.25,-1,-1,-1,-1,6,7.25,4.75
01000051,khtn,7.8,4,6.4,7,3.25,5,-1,-1,-1
01000052,khxh,6.8,8.75,7.25,-1,-1,-1,6.75,9,8.5
01000053,khxh,6.2,6.25,6.5,-1,-1,-1,6.75,5.2,8.5
01000054,khxh,8.4,8,8.5,-1,-1,-1,8.25,9,9.25
01000055,khxh,7,7,5.75,-1,-1,-1,8,9.4,7.5
01000056,khxh,2,2.25,3.5,-1,-1,-1,2.75,3.2,3.5
01000057,khxh,7.8,8.25,8.25,-1,-1,-1,8.25,8,8
01000058,khxh,2.2,5.25,5,-1,-1,-1,3.25,3.4,6.25
01000059,khtn,8.2,7.75,9.6,4.5,3.5,6.25,-1,-1,-1
01000060,NONE8.2,7.5,7.2,-1,-1,-1,-1,-1,-1
01000061,khxh,5.6,6.5,9.25,-1,-1,-1,7.25,9,8.5
01000062,khxh,4.6,6,-1,-1,-1,-1,6.25,6.25,-1
01000063,khxh,7.4,6.75,8,-1,-1,-1,6.5,9.2,9
01000064,khxh,6.8,8.5,8,-1,-1,-1,8,7.6,8.25
01000065,khxh,8.6,8.5,8.25,-1,-1,-1,7.5,8.6,9.25
01000066,khtn,7.8,3.5,8.8,7,4.5,6.25,-1,-1,-1
01000067,khxh,3,6.5,5,-1,-1,-1,5.75,4.6,-1
01000068,khxh,8.6,8,8.75,-1,-1,-1,8.75,8,9
01000069,khtn,8.6,4.75,7.4,7,4.5,8,-1,-1,-1
01000070,NONE6.4,6.5,7.6,-1,-1,-1,-1,-1,-1
01000071,khtn,7.6,5,6.6,6.25,3.25,8.25,-1,-1,-1
01000072,khxh,5.2,4.75,5,-1,-1,-1,5.5,2.6,5.25
01000073,khtn,8.4,6.75,9.8,6.75,4.25,7.75,-1,-1,-1
01000074,khtn,7.6,2.5,-1,7.5,1.75,6.5,-1,-1,-1
01000075,khxh,5.4,7,8.75,-1,-1,-1,8,5.2,9.25
01000076,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01000077,khxh,8.4,8.25,8.5,-1,-1,-1,7,9.4,8.25
01000078,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01000079,khxh,5.6,6.25,7.25,-1,-1,-1,6.25,6,7.75
01000080,khtn,8.8,4.75,9.4,7.5,4,6,-1,-1,-1
01000081,khxh,6.6,7.5,5,-1,-1,-1,5,4,7.25
01000082,khxh,9,9.5,7.25,-1,-1,-1,6.75,8,8.25
01000083,khxh,6.8,8.75,4.5,-1,-1,-1,5.75,5,6.25
01000084,khxh,7.8,9,8.5,-1,-1,-1,8.75,8.8,8.25
01000085,khxh,7.6,5.5,5.75,-1,-1,-1,6.25,8.2,7.75
01000086,khxh,6.8,7,-1,-1,-1,-1,7,7.5,6.5
01000087,khxh,8.4,8,6.75,-1,-1,-1,6.5,9.4,8.25
01000088,khxh,8.2,8.75,7.25,-1,-1,-1,6.5,8,8
01000089,khtn,7.8,4,6,7.5,3,7.25,-1,-1,-1
01000090,khxh,7,8,6,-1,-1,-1,6.5,6.6,7.75
01000091,khxh,7.8,7.25,7.5,-1,-1,-1,6.5,7.8,9.5
01000092,khxh,6.8,8.5,6.5,-1,-1,-1,8,8,8.5
01000093,khtn,8.8,6.75,-1,5.75,6,7.75,-1,-1,-1
01000094,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01000095,khxh,8,6,6.5,-1,-1,-1,8.75,9,9.25
01000096,khxh,7.6,8.25,6.75,-1,-1,-1,7.75,7.8,9
01000097,khxh,8.2,8.5,7.75,-1,-1,-1,7,9.6,8.5
01000098,khxh,7.4,8.5,8.5,-1,-1,-1,7.25,8,8.25
01000099,khxh,7.6,8,5,-1,-1,-1,8.5,9.2,8
01000100,khxh,3.8,5.5,5.5,-1,-1,-1,4.25,5.6,7.75
01000101,khtn,8.2,7.25,7.6,5.25,3.25,6.5,-1,-1,-1
01000102,khtn,8.8,8,9,4.75,8,7.25,-1,-1,-1
01000103,khtn,8.4,8.75,7,8.5,6.5,8.5,-1,-1,-1
01000104,khxh,7.2,8.5,7,-1,-1,-1,6.25,9,8
01000105,khxh,7,8.5,7.75,-1,-1,-1,6.75,7,8
01000106,khtn,8.4,2.25,8.6,5.75,3.75,5,-1,-1,-1
01000107,khtn,7.4,8,7.4,5.25,3.75,7.5,-1,-1,-1
01000108,khxh,8.6,9,7,-1,-1,-1,6.5,9,8.75
01000109,khtn,8.2,-1,8,6.75,-1,-1,-1,-1,-1
01000110,khxh,8.6,7.5,9.5,-1,-1,-1,6.5,8,-1
01000111,khxh,8.6,9,6.75,-1,-1,-1,5,8.8,7.75
01000112,khxh,7.2,6.5,7.75,-1,-1,-1,6.5,9.6,8.25
01000113,khxh,9.2,8.75,8,-1,-1,-1,8,9.4,9.25
01000114,khxh,6.4,6.75,-1,-1,-1,-1,6,6.5,-1
01000115,khtn,8.2,8,7.6,4.5,5.25,7,-1,-1,-1
01000116,khxh,8.2,8,9,-1,-1,-1,7.25,9,9.25
01000117,khxh,8,8,7.75,-1,-1,-1,5.25,7.8,7.75
01000118,khxh,7,7.5,6.25,-1,-1,-1,6.5,8.6,8
01000119,khxh,5,5.25,-1,-1,-1,-1,6.5,8,7.5
01000120,khxh,7.2,7.75,9.25,-1,-1,-1,8.5,8.4,8.25
01000121,khxh,8.2,8.25,9.25,-1,-1,-1,7.75,8.8,9
01000122,khtn,8.6,4.25,8.4,8.75,4.75,5.5,-1,-1,-1
01000123,khtn,7,6,4.2,5.5,7.25,8,-1,-1,-1
01000124,khxh,7.2,6.75,7,-1,-1,-1,6.75,7.4,8
01000125,khxh,4.8,6.25,5.25,-1,-1,-1,7,4.8,6.25
01000126,khtn,8.4,3.5,6.4,6.75,3.75,7.5,-1,-1,-1
01000127,khxh,4.6,7.25,7.75,-1,-1,-1,7,4,8.75
01000128,khxh,-1,7.75,-1,-1,-1,-1,8.75,6.5,-1
01000129,khtn,8.8,8,-1,6.75,4.75,7.5,-1,-1,-1
01000130,khtn,9.4,4.75,7.2,8.75,4,4.5,-1,-1,-1
01000131,khtn,8.2,7,6.2,6,3,6.25,-1,-1,-1
01000132,khtn,8.6,4.5,8.4,8,5,6,-1,-1,-1
01000133,khxh,7.4,8.75,6,-1,-1,-1,7.25,8.6,7.75
01000134,khxh,7,8.5,7,-1,-1,-1,7.25,8.2,8.5
01000135,khtn,8.6,8.25,8.4,4,4.25,6.25,-1,-1,-1
01000136,khxh,7.6,8,7.75,-1,-1,-1,7.25,9,8.25
01000137,khtn,8.2,2.75,8,7.75,4.5,7,-1,-1,-1
01000138,khxh,7.8,8.75,5.75,-1,-1,-1,7,9,8
01000139,khxh,7.6,9.25,8.25,-1,-1,-1,8,8.6,9
01000140,khxh,5.8,7.5,7.25,-1,-1,-1,6.5,6.6,8.75
01000141,khxh,7,8,7.5,-1,-1,-1,7,7.6,7.5
01000142,khxh,6.6,8.25,5.25,-1,-1,-1,7.25,8,7.25
01000143,khxh,7.6,8.5,7.75,-1,-1,-1,7.25,7.6,8
01000144,khxh,4,6.75,-1,-1,-1,-1,2.5,6,-1
01000145,khxh,7.2,7.5,-1,-1,-1,-1,8.25,8.5,7
01000146,khxh,7.6,8.25,7,-1,-1,-1,8,7.6,8
01000147,khtn,6.4,7.5,4,7.25,4.75,6.75,-1,-1,-1
01000148,khxh,6.8,8.25,7,-1,-1,-1,7.5,9.2,7.5
01000149,NONE5,8.25,8,-1,-1,-1,-1,-1,-1
01000150,khxh,5.8,6.25,-1,-1,-1,-1,4,6.5,-1
01000151,khtn,8.6,5.75,8.2,7.25,5.25,6,-1,-1,-1
01000152,khxh,9.2,7.75,5.25,-1,-1,-1,8.5,8.6,8.25
01000153,khxh,7.2,8.75,9,-1,-1,-1,7.75,6,9.25
01000154,khxh,7.6,8,8.5,-1,-1,-1,8,5.8,8.5
01000155,khxh,5,8.75,7.75,-1,-1,-1,8.25,8.4,8
01000156,khxh,8,8.5,8,-1,-1,-1,6.25,8.2,9.25
01000157,khtn,7.6,7.25,5.2,4.5,4.75,5,-1,-1,-1
01000158,khxh,6,6.5,5.25,-1,-1,-1,5.5,7.4,6.75
01000159,khxh,3.2,7,4.25,-1,-1,-1,5.5,4,7.25
01000160,khxh,7.4,8,5.5,-1,-1,-1,5.75,8.8,8
01000161,khxh,8.6,8.75,9,-1,-1,-1,7.5,8.6,8.75
01000162,khxh,2.6,6.25,3.75,-1,-1,-1,4,4.6,7.25
01000163,khxh,8,7,5,-1,-1,-1,6.5,6.8,7.25
01000164,khxh,6,7.75,9.75,-1,-1,-1,8,6.4,8.25
01000165,khxh,7.8,8.5,6,-1,-1,-1,6.75,9,8
01000166,khxh,6.8,7.25,-1,-1,-1,-1,6.25,6.25,-1
01000167,khxh,7.2,7,3.5,-1,-1,-1,6.75,6.4,7.25
01000168,khxh,7.8,8.5,8.5,-1,-1,-1,7.75,9.6,8.75
01000169,khxh,6.6,7.25,8.75,-1,-1,-1,7.75,8.6,8.5
01000170,NONE7.4,7,8,-1,-1,-1,-1,-1,-1
01000171,khxh,7.6,7.5,8.25,-1,-1,-1,6.5,8.2,8.25
01000172,khxh,7.2,8.5,8,-1,-1,-1,7,7.8,8.25
01000173,khtn,8.2,7,8.8,6.5,5.25,7.25,-1,-1,-1
01000174,khxh,5.2,7.5,7.75,-1,-1,-1,8,5,8.75
01000175,khxh,6.2,8.5,7.75,-1,-1,-1,7.75,8.6,8
01000176,khtn,8.6,8.25,9.2,9.5,4.25,7.25,-1,-1,-1
01000177,khxh,8.2,8.25,8.5,-1,-1,-1,8,9.6,8.5
01000178,khxh,7,7,8,-1,-1,-1,7,8,8.5
01000179,khxh,7.4,6.5,8.75,-1,-1,-1,7,8.6,8.75
01000180,khxh,4.6,6,7.25,-1,-1,-1,6.75,3.2,9.25
01000181,khxh,5,7.25,6,-1,-1,-1,7,2.8,8
01000182,khxh,4,5,-1,-1,-1,-1,6,7.75,-1
01000183,khtn,8,8,7.6,4.75,3.25,5.75,-1,-1,-1
01000184,khxh,7,6.25,7.25,-1,-1,-1,6,6.6,8.25
01000185,khtn,9.6,8,9.2,9.5,5.25,7.75,-1,-1,-1
01000186,khtn,9,2.5,9.4,7.75,4.75,6.25,-1,-1,-1
01000187,khxh,7.4,7.75,7,-1,-1,-1,7.5,7.6,7.75
01000188,khxh,8,7.75,6.5,-1,-1,-1,8.5,6,7.75
01000189,khxh,8.6,8,5.5,-1,-1,-1,4,7,8.25
01000190,khxh,5.4,5.17,-1,-1,-1,-1,5.5,7.5,7.5
01000191,khtn,8.2,8.25,8,4.25,8,8,-1,-1,-1
01000192,khxh,8.2,7.75,8,-1,-1,-1,8.75,9.6,8.5
01000193,khxh,8,8.5,7,-1,-1,-1,5.5,7.4,8.25
01000194,khtn,8.8,7.75,7.8,5,8.75,7.75,-1,-1,-1
01000195,khxh,8.4,8.5,9.25,-1,-1,-1,8.5,7,9
01000196,khxh,7.6,9,6.5,-1,-1,-1,6.5,7.4,8
01000197,khxh,7.6,8,8.75,-1,-1,-1,7.75,9,8.75
01000198,khxh,5.4,6.5,8.5,-1,-1,-1,7,8.4,9
01000199,khtn,8.6,8.25,9,7.5,4.75,7.5,-1,-1,-1
01000200,khtn,7.6,6.25,8.4,7.5,4.25,6.25,-1,-1,-1
01000201,khxh,6.6,6.5,7.5,-1,-1,-1,6.75,6,8
01000202,khxh,8.4,8.5,8.25,-1,-1,-1,8.5,8.4,9.25
01000203,khxh,6.6,7.25,5,-1,-1,-1,6,4.8,6.75
01000204,khxh,7.4,7.5,7,-1,-1,-1,7.25,8,9.5
01000205,NONE8.2,9,8.8,-1,-1,-1,-1,-1,-1
01000206,khxh,4.4,5,-1,-1,-1,-1,6.25,7.25,-1
01000207,khxh,7.8,8.5,5.25,-1,-1,-1,7,7.4,8
01000208,khxh,8.2,9,7.25,-1,-1,-1,9,7.6,9
01000209,khxh,7.2,8.25,6.5,-1,-1,-1,6.75,7.8,7.75
01000210,khtn,8,3.25,8,8.75,3.25,5.75,-1,-1,-1
01000211,khtn,8.4,8,8.2,3.25,8.75,6.25,-1,-1,-1
01000212,khxh,7.6,6.75,3.5,-1,-1,-1,7.25,3.6,8.5
01000213,khxh,7.2,8.75,8,-1,-1,-1,7.5,9.2,9
01000214,khxh,7.2,7.5,6.75,-1,-1,-1,7.5,6.8,7.75
01000215,khxh,7,7.5,5.25,-1,-1,-1,7.25,7.8,8
01000216,khxh,8.4,8.75,5.25,-1,-1,-1,5.5,9,7.5
01000217,khxh,9.4,8.5,7.25,-1,-1,-1,6.25,8.6,8.75
01000218,khxh,8.4,6,6.5,-1,-1,-1,8.75,9.4,8.5
01000219,khxh,7.6,8.25,7,-1,-1,-1,6.5,7.4,8.25
01000220,khxh,8,8,7,-1,-1,-1,6.75,9,7.75
01000221,khtn,7.8,7.75,9,8.75,6,6.5,-1,-1,-1
01000222,khxh,7,7,7,-1,-1,-1,6,6.8,7.5
01000223,khxh,6.6,8,8.25,-1,-1,-1,8,3.2,9
01000224,khxh,8.8,8.5,7.25,-1,-1,-1,5.5,9,6.75
01000225,khxh,7.8,8,6.5,-1,-1,-1,6.5,9.2,8.25
01000226,khxh,7.4,9.25,8.25,-1,-1,-1,7.75,9,9.5
01000227,khxh,2.8,7.75,7,-1,-1,-1,6,2.8,8.5
01000228,khxh,7.6,7.75,8.75,-1,-1,-1,6.5,9,9
01000229,khtn,7.2,5.75,8.2,8,3.25,6,-1,-1,-1
01000230,khxh,8,7.25,9,-1,-1,-1,7,8.2,8.75
01000231,khxh,2.6,5,-1,-1,-1,-1,5,3,-1
01000232,khtn,8,8,5,6.75,4.5,6.75,-1,-1,-1
01000233,khxh,3.4,6,-1,-1,-1,-1,6.25,5,-1
01000234,khtn,9.2,6.25,8.2,9.25,4.5,6.25,-1,-1,-1
01000235,khxh,8,7.5,6.75,-1,-1,-1,6.5,8.6,8.5
01000236,khxh,7.2,8.25,4.5,-1,-1,-1,6.5,6,7.25
01000237,khxh,7.6,6.5,7.25,-1,-1,-1,7,8,8.5
01000238,khxh,7.4,9,8.25,-1,-1,-1,7.5,6.6,9
01000239,khxh,7.8,7.25,8,-1,-1,-1,7.25,9.6,9
01000240,khxh,8.4,7,4.5,-1,-1,-1,7.5,7.4,7.5
01000241,khxh,8,9,8,-1,-1,-1,6.75,7.8,7.75
01000242,khxh,7.8,7,8.5,-1,-1,-1,8,8.4,8.5
01000243,khxh,8.4,8.75,9,-1,-1,-1,8,9,9
01000244,khtn,8.4,4.75,8.4,9,4.25,7,-1,-1,-1
01000245,khxh,8.6,8.25,6.25,-1,-1,-1,5.75,7.6,8.25
01000246,khxh,7.2,8.5,7.75,-1,-1,-1,8.5,6.8,9
01000247,khtn,7.8,5.25,8.6,6.5,4,6,-1,-1,-1
01000248,khxh,6.8,8,7.75,-1,-1,-1,7.25,8.2,8.5
01000249,khxh,9,8.75,7,-1,-1,-1,9.25,9.6,9
01000250,khtn,8.8,6.5,9.2,8.75,3.5,6,-1,-1,-1
01000251,khtn,8.8,9.75,9.4,8.75,5.25,7.25,-1,-1,-1
01000252,khxh,5,6.25,5.25,-1,-1,-1,5.75,3.2,8
01000253,khxh,8.4,8.5,8.75,-1,-1,-1,8,8.2,9.25
01000254,khtn,8.4,7.5,9,8,4.5,5.5,-1,-1,-1
01000255,khxh,7.4,9,7.25,-1,-1,-1,8,8.2,8.5
01000256,khtn,8.2,8.25,8,3,5,7.75,-1,-1,-1
01000257,khxh,7.4,8,6.75,-1,-1,-1,5.75,8.6,8.25
01000258,khtn,6.8,-1,5.2,4.5,4.5,-1,-1,-1,-1
01000259,khxh,5.8,7.75,7,-1,-1,-1,6.5,5.2,6.5
01000260,khtn,8.2,5.5,8.4,6.5,5.25,6.75,-1,-1,-1
01000261,khxh,8,7.5,7.75,-1,-1,-1,7.25,7.8,8
01000262,khxh,4.8,6,8,-1,-1,-1,7.5,4.6,9
01000263,khtn,7.6,6,6.2,5,4.25,6,-1,-1,-1
01000264,khxh,6.6,6.75,-1,-1,-1,-1,6.75,8.25,7.5
01000265,khxh,7.6,6.75,6.5,-1,-1,-1,6.75,7.4,7.25
01000266,khxh,9,8,7,-1,-1,-1,7.25,9.6,7.75
01000267,khxh,2.4,7.25,4.5,-1,-1,-1,5.5,3.4,6.75
01000268,khxh,7,8.5,7.5,-1,-1,-1,7,7,8
01000269,khxh,1.6,4.75,-1,-1,-1,-1,6.5,6,-1
01000270,khxh,6.6,7.5,7.25,-1,-1,-1,6.25,8.4,8
01000271,khxh,7.6,7.75,6.75,-1,-1,-1,6,8.2,8
01000272,khxh,2.6,7.25,9.25,-1,-1,-1,9.25,6,7.5
01000273,khtn,7.6,5,9.2,7.25,4.5,6.25,-1,-1,-1
01000274,khxh,9,8,8.25,-1,-1,-1,7,7.8,8
01000275,khxh,-1,6.5,-1,-1,-1,-1,5.75,6.5,-1
01000276,khxh,6.8,8,8.25,-1,-1,-1,7,7.4,9.75
01000277,khxh,-1,4.75,-1,-1,-1,-1,5.75,6.25,-1
01000278,khtn,8.6,6,8.2,8.25,5.75,7.25,-1,-1,-1
01000279,khtn,8.4,6.25,6.4,6.25,5.75,6.25,-1,-1,-1
01000280,khxh,7.4,6.75,6.25,-1,-1,-1,6.5,3.4,8
01000281,khxh,9,7.75,6,-1,-1,-1,6.75,7.8,8.75
01000282,khxh,7.6,7,5,-1,-1,-1,6.25,5.4,5.75
01000283,khxh,7.8,6.67,4.75,-1,-1,-1,6.75,4,7
01000284,khxh,7,8.25,6,-1,-1,-1,7.5,7.6,8.25
01000285,khtn,9.2,7.75,9,9.25,6.25,6.5,-1,-1,-1
01000286,khxh,4.2,4,-1,-1,-1,-1,6.25,7.25,-1
01000287,khxh,7,8,6,-1,-1,-1,6.25,9,8.25
01000288,khxh,8.4,8.5,7.75,-1,-1,-1,7.5,8.8,8.5
01000289,khxh,7.6,8.5,4.25,-1,-1,-1,6.5,8.4,7.75
01000290,khtn,9,4.5,9.4,8.5,4.75,7.75,-1,-1,-1
01000291,khxh,7.2,7.75,5.75,-1,-1,-1,7,7.2,8
01000292,khtn,6.8,3.75,7.4,4.5,3.75,6.5,-1,-1,-1
01000293,khtn,8.8,2.5,9.2,7.5,4.5,5,-1,-1,-1
01000294,khtn,8.2,6.5,9.2,8.25,5,3.75,-1,-1,-1
01000295,khxh,3.8,4.25,-1,-1,-1,-1,5.75,6.25,-1
01000296,khtn,8.8,8.25,9.2,4,4.25,6,-1,-1,-1
01000297,khtn,7.6,5,6.6,6,2.75,6,-1,-1,-1
01000298,khtn,8.8,4.25,6.6,5.5,5,6.5,-1,-1,-1
01000299,khxh,6.4,6.75,7.5,-1,-1,-1,7.75,7.6,7.25
01000300,khxh,5,6,6,-1,-1,-1,5.25,4.8,7.25
01000301,khtn,7.8,3.75,7.8,7.75,4.25,5.25,-1,-1,-1
01000302,khxh,6.6,5.75,7.5,-1,-1,-1,6,8.6,9
01000303,khxh,6.4,7.75,8.75,-1,-1,-1,8.5,7.8,8
01000304,khxh,7.4,7.25,8.5,-1,-1,-1,8.75,7,8
01000305,khtn,8.6,3.25,6,7,3.25,5.75,-1,-1,-1
01000306,khtn,7.4,8,5.4,4,3,3,-1,-1,-1
01000307,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01000308,khxh,3.8,5.5,5,-1,-1,-1,5.75,3.6,7.75
01000309,khxh,6,5.25,7.5,-1,-1,-1,5.25,5.2,8
01000310,khxh,6,6.5,-1,-1,-1,-1,6.5,6,5.25
01000311,khxh,7.4,7.75,5.5,-1,-1,-1,7,6.4,8.25
01000312,khtn,7.6,6,7.2,6.5,4.75,7.25,-1,-1,-1
01000313,khtn,8.8,6,6.4,7.75,4,7,-1,-1,-1
01000314,khtn,8.8,4.5,8.8,7.75,3.25,3.75,-1,-1,-1
01000315,khtn,8.8,6,8.6,8.5,5.25,7,-1,-1,-1
01000316,khxh,8,8.5,7.5,-1,-1,-1,7.25,8.6,8.25
01000317,khxh,6,6.5,6.5,-1,-1,-1,6.5,7.4,7.75
01000318,khxh,6.8,6.25,-1,-1,-1,-1,8.5,7.5,-1
01000319,khxh,6,8.5,7,-1,-1,-1,4.75,6.4,8.25
01000320,khxh,9.2,8,7,-1,-1,-1,7.75,7.2,7.25
01000321,NONE8,8.25,9.2,-1,-1,-1,-1,-1,-1
01000322,khxh,5.8,8,7,-1,-1,-1,7.5,7.2,7.5
01000323,khxh,2.8,8.25,8,-1,-1,-1,6.5,7.8,7.25
01000324,khxh,8.6,9.25,8.75,-1,-1,-1,8,8.6,9
01000325,khxh,-1,5,-1,-1,-1,-1,5.25,6.25,-1
01000326,khxh,8.6,7.75,7.75,-1,-1,-1,7.75,8.6,8.75
01000327,khxh,8.6,6.25,-1,-1,-1,-1,7.25,9.25,6.25
01000328,khxh,6.8,7.5,8.75,-1,-1,-1,6.5,8.6,7.75
01000329,khtn,8.4,4,8.8,5.75,4.5,5.75,-1,-1,-1
01000330,khxh,3.6,5.25,4,-1,-1,-1,4.5,2.8,7.25
01000331,khxh,8.8,8.5,8,-1,-1,-1,8,7.6,9
01000332,khxh,7.4,7.5,4.5,-1,-1,-1,6.75,8.2,7.75
01000333,khxh,7.2,7.5,6,-1,-1,-1,7.5,6,7.25
01000334,khxh,8.2,8.25,8.25,-1,-1,-1,8.25,8.8,9.25
01000335,khxh,5.4,5.75,8.25,-1,-1,-1,5.25,7.8,9
01000336,khxh,7.4,8.25,8.75,-1,-1,-1,7.5,8.6,8
01000337,khxh,6.6,4.25,-1,-1,-1,-1,4.75,5.25,-1
01000338,khxh,6.4,8,5.75,-1,-1,-1,5.25,8.2,7.5
01000339,khxh,-1,2.5,-1,-1,-1,-1,4.25,6,-1
01000340,khtn,7.4,6,9.2,6,5,6.75,-1,-1,-1
01000341,khxh,7.2,7,7.25,-1,-1,-1,6.5,7.4,8.5
01000342,khxh,3,4.5,4,-1,-1,-1,5.25,3,8
01000343,khxh,-1,6,-1,-1,-1,-1,7.5,7,-1
01000344,khxh,9.2,9,9.5,-1,-1,-1,9.25,9.4,9
01000345,khxh,7.8,8.5,7,-1,-1,-1,6,7.8,7
01000346,khxh,7.4,7.5,7.5,-1,-1,-1,6.5,8.6,7.5
01000347,khxh,5.6,7,8,-1,-1,-1,7.25,5.4,8.75
01000348,khxh,8.2,7.5,8.25,-1,-1,-1,8,8,8
01000349,khxh,7,5,7,-1,-1,-1,6.25,6.6,8.25
01000350,khxh,7.2,8.75,8.75,-1,-1,-1,8.75,6.8,9
01000351,khxh,8,8.5,5.25,-1,-1,-1,6,6.6,8.5
01000352,khxh,7.4,7,6.5,-1,-1,-1,7,7.4,8.5
01000353,khxh,8.6,7.5,6,-1,-1,-1,5.25,7,7.5
01000354,khxh,7.6,7.5,7.25,-1,-1,-1,6.75,6.8,8.25
01000355,khxh,-1,3.5,-1,-1,-1,-1,3,5,-1
01000356,khxh,6.6,6.25,5.5,-1,-1,-1,6.5,6.6,8.5
01000357,khxh,6.4,7,8.25,-1,-1,-1,7.25,6,7.75
01000358,khxh,7.4,7.5,6.5,-1,-1,-1,7,7.2,8
01000359,khxh,8.2,8,7,-1,-1,-1,7.25,8.6,8
01000360,khtn,7.6,-1,6.6,7.5,-1,-1,-1,-1,-1
01000361,khxh,4,6.75,7.25,-1,-1,-1,5.5,3.4,4.25
01000362,khxh,8,8,4.25,-1,-1,-1,6.5,8,8.25
01000363,khxh,8.6,9,7.75,-1,-1,-1,8.5,8.6,9
01000364,khxh,7.4,6.5,7,-1,-1,-1,7.5,6.2,8
01000365,khxh,7.8,8.5,6.5,-1,-1,-1,7.75,6.4,8.25
01000366,khxh,7.2,7.5,7.75,-1,-1,-1,7.25,5.4,8.25
01000367,khxh,4,7.5,5.5,-1,-1,-1,6.25,5.6,7
